hfpxzc hre,Latitude,Longitude,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,EgL07d src,R8c4Qb
https://www.google.com/maps/place/Surat+Railway+Police+Station/data=!4m7!3m6!1s0x3be04ef9c8d4f3d9:0x75e07578f0ca2739!8m2!3d21.2038651!4d72.8402364!16s%2Fg%2F1pzrk8b3s!19sChIJ2fPUyPlO4DsROSfK8Hh14HU?authuser=0&hl=en&rclk=1,21.203865100000002,72.840236399999995,Surat Railway Police Station,3.800000000000000,"-22",Police station,·,"6R3R+G3X, Lambe Hanuman Road, Kodiyar Nagar Rd",,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,Website
https://www.google.com/maps/place/Hidayat+Nagar+Police+Station/data=!4m7!3m6!1s0x3be04c38fabbf9b1:0xab348b2f0def3887!8m2!3d21.2100705!4d72.7829795!16s%2Fg%2F1txc5hjr!19sChIJsfm7-jhM4DsRhzjvDS-LNKs?authuser=0&hl=en&rclk=1,21.212722299999999,72.783461799999998,Hidayat Nagar Police Station,3.300000000000000,"-4",Police department,·,"34, Palanpur Rd",,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
https://www.google.com/maps/place/Ved+Road+Police+Station/data=!4m7!3m6!1s0x3be04e94277b6de3:0x51d6a0b49b40f188!8m2!3d21.2182248!4d72.8219833!16s%2Fg%2F124t5kfhr!19sChIJ4217J5RO4DsRiPFAm7Sg1lE?authuser=0&hl=en&rclk=1,21.218224800000002,72.821983299999999,Ved Road Police Station,3.900000000000000,"-29",Police station,·,"J.P. Nagar, 2, Ved Rd",Open 24 hours,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,Website
https://www.google.com/maps/place/Police+Station/data=!4m7!3m6!1s0x3be04fd90d248bf3:0xff10010294b40a76!8m2!3d21.1616989!4d72.8669007!16s%2Fg%2F11bwh5fh08!19sChIJ84skDdlP4DsRdgq0lAIBEP8?authuser=0&hl=en&rclk=1,36.797231300000000,-86.815063899999998,Police Station,4.200000000000000,"-5",Police station,·,"5V68+MQC, Pohari",078790 30817,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
https://www.google.com/maps/place/Saurabh+Police+Choki/data=!4m7!3m6!1s0x3be04dcadf0f3933:0xe988e74c113980aa!8m2!3d21.1937569!4d72.7834431!16s%2Fg%2F1s04g3sg8!19sChIJMzkP38pN4DsRqoA5EUzniOk?authuser=0&hl=en&rclk=1,21.193756900000000,72.783443100000000,Saurabh Police Choki,4.700000000000000,"-7",Police station,·,"TGB Hotel Road, opp. Amrapali Shopping Centre",,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
https://www.google.com/maps/place/Limbayat+Police+Station/data=!4m7!3m6!1s0x3be04fcbd743fc59:0xd3db9f416a34a0a!8m2!3d21.1759924!4d72.8571211!16s%2Fg%2F1q2w9q42t!19sChIJWfxD18tP4DsRCkqjFvS5PQ0?authuser=0&hl=en&rclk=1,21.175992399999998,72.857121100000001,Limbayat Police Station,3.200000000000000,"-60",Police station,·,"Health Center, Rustam Bagh Rd",Open 24 hours,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,Website
https://www.google.com/maps/place/Pandesara+Police+Station/data=!4m7!3m6!1s0x3be051cff4f4c63f:0x1a2723bb970385d!8m2!3d21.1418938!4d72.8400055!16s%2Fg%2F1q62f6b4b!19sChIJP8b09M9R4DsRXThwuTtyogE?authuser=0&hl=en&rclk=1,21.150257600000000,72.824960700000005,Pandesara Police Station,4.000000000000000,"-39",Police station,·,"4RRR+Q22, GIDC Main Rd",0261 289 0200,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
https://www.google.com/maps/place/Fulpada+police+station/data=!4m7!3m6!1s0x3be04edd5edc9baf:0x76ee0a522513856!8m2!3d21.2241973!4d72.8409357!16s%2Fg%2F11g6bjx65w!19sChIJr5vcXt1O4DsRVjhRIqXgbgc?authuser=0&hl=en&rclk=1,21.224197300000000,72.840935700000003,Fulpada police station,3.000000000000000,"-2",Traffic police station,·,6RFR+M9F,Open 24 hours,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,Website
https://www.google.com/maps/place/Universal+Chowk-Traffic+Police+Chowki/data=!4m7!3m6!1s0x3be04e4ff192ecaf:0x1cd9dba84fd22824!8m2!3d21.188315!4d72.8403706!16s%2Fg%2F1q2vxfl89!19sChIJr-yS8U9O4DsRJCjST6jb2Rw?authuser=0&hl=en&rclk=1,21.188314999999999,72.840370600000000,Universal Chowk-Traffic Police Chowki,3.700000000000000,"-3",Police station,·,"Ring Road, Textile Zone Sector-2, Traffic Branch, Jay Prakash Narayan Marg",082382 66699,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
https://www.google.com/maps/place/Nana+Varachha+Police+Station/data=!4m7!3m6!1s0x3be04f67b72385f7:0x6c9b7deda6bb0c81!8m2!3d21.2266724!4d72.8887681!16s%2Fg%2F1q5gqggkn!19sChIJ94Ujt2dP4DsRgQy7pu19m2w?authuser=0&hl=en&rclk=1,21.226672400000002,72.888768099999993,Nana Varachha Police Station,3.500000000000000,"-11",Police station,·,"6VGQ+MG6, Varachha Main Rd",0261 257 7579,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,Directions
